代码,名称
300379,*ST东通
688038,中科通达
688507,索辰科技
688631,莱斯信息
688777,中控技术
834415,恒拓开源
603189,网达软件
002230,科大讯飞
301213,观想科技
688188,柏楚电子
300559,佳发教育
002153,石基信息
300935,盈建科
688111,金山办公
601519,大智慧
600588,用友网络
601360,三六零
688327,云从科技-UW
300302,同有科技
300845,捷安高科
300830,金现代
688296,和达科技
300074,华平股份
688561,奇安信-U
688058,宝兰德
002063,远光软件
000004,*ST国华
002362,汉王科技
300454,深信服
688152,麒麟信安
301218,华是科技
603508,思维列控
603927,中科软
600536,中国软件
688291,金橙子
300542,新晨科技
300605,恒锋信息
603990,麦迪科技
002439,启明星辰
300249,依米康
688588,凌志软件
839493,并行科技
688083,中望软件
301337,亚华电子
002178,延华智能
300253,卫宁健康
688060,云涌科技
688657,浩辰软件
300378,鼎捷数智
300451,创业慧康
301159,三维天地
301378,通达海
603138,海量数据
300608,思特奇
301313,凡拓数创
300556,丝路视觉
688118,普元信息
688023,安恒信息
002410,广联达
688318,财富趋势
300624,万兴科技
688207,格灵深瞳
300098,高新兴
301236,软通动力
688078,龙软科技
300339,润和软件
688570,天玛智控
002405,四维图新
300996,普联软件
600602,云赛智联
002279,久其软件
688095,福昕软件
430564,天润科技
300659,中孚信息
688615,合合信息
300188,国投智能
300925,法本信息
872953,国子软件
688579,山大地纬
300369,绿盟科技
688590,新致软件
600476,湘邮科技
002528,ST英飞拓
000948,南天信息
831832,科达自控
688232,新点软件
300550,和仁科技
002908,德生科技
002990,盛视科技
300365,恒华科技
300552,万集科技
835670,数字人
603232,格尔软件
430425,乐创技术
002268,电科网安
300525,博思软件
300520,科大国创
301339,通行宝
688695,中创股份
873806,云星宇
301185,鸥玛软件
300075,数字政通
301172,君逸数码
600570,恒生电子
300803,指南针
003029,吉大正元
002212,天融信
603528,多伦科技
301195,北路智控
688651,盛邦安全
688692,达梦数据
688206,概伦电子
300036,超图软件
301592,六九一二
300730,科创信息
002322,理工能科
603383,顶点软件
300047,天源迪科
300579,数字认证
300348,长亮科技
300598,诚迈科技
300386,飞天诚信
600654,中安科
300229,拓尔思
300352,北信源
301179,泽宇智能
002421,达实智能
688030,山石网科
688031,星环科技-U
301221,光庭信息
837092,汉鑫科技
300333,兆日科技
832171,志晟信息
301302,华如科技
300033,同花顺
300663,科蓝软件
603039,泛微网络
300380,安硕信息
301315,威士顿
688369,致远互联
835305,*ST云创
600728,佳都科技
301208,中亦科技
300465,高伟达
920799,艾融软件
002987,京北方
835508,殷图网联
301269,华大九天
300311,ST任子行
688225,亚信安全
301316,慧博云通
835207,众诚科技
301330,熵基科技
839790,联迪信息
300085,银之杰
603859,能科科技
837592,华信永道
300468,四方精创
300561,*ST汇科
000503,国新健康
688227,品高股份
301117,佳缘科技
301153,中科江南
900926,宝信Ｂ
688244,永信至诚
300344,ST立方
300768,迪普科技
002261,拓维信息
300377,赢时胜
688171,纬德信息
301162,国能日新
003007,直真科技
688109,XD品茗科
430090,同辉信息
688343,云天励飞-U
300789,唐源电气
835184,国源科技
300682,朗新集团
301556,托普云农
301197,工大科雅
300588,熙菱信息
002253,*ST智胜
688201,信安世纪
301248,杰创智能
688435,英方软件
300235,方直科技
301178,天亿马
837748,路桥信息
300773,拉卡拉
300810,中科海讯
688168,安博通
300469,信息发展
300366,ST创意
002065,东华软件
839680,*ST广道
